fiscal_year,month,month_numeric,data_from_table,listed_only_on_bse_no_of_issues,listed_only_on_bse_amount_rs.crore,listed_only_on_nse_no_of_issues,listed_only_on_nse_amount_rs.crore,listed_both_on_nse_and_bse_no_of_issues,listed_both_on_nse_and_bse_amount_rs.crore,total_no_of_issues,total_amount_rs.crore,released_on,updated_on,data_source,data_url
2019-20,October,10,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,88,19237.29,27,9840.48,11,18240.2,126,47317.97,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,November,11,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,57,13307.94,23,16366.14,12,19057.5,92,48731.58,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,98,23084.43,33,29526.19,3,3547,134,56157.62,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,116,16824.6,17,17151.29,25,35320.4,158,69296.29,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,121,42539.62,31,14033.64,19,23484.64,171,80057.9,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,111,25081.38,32,26003.3,20,24324.3,163,75408.98,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,40,15199.62,19,11880,11,27559.1,70,54638.72,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,48,14911.19,33,21706,26,47956.3,107,84573.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,136,28221.37,43,18703.63,9,23288.5,188,70213.5,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,191,20187.64,40,17454.84,12,10319.2,243,47961.68,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,163,21144.71,26,5592.7,24,31681.8,213,58419.21,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
